medcodeid,observations,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,emiscodecategoryid,original,alcohol_variable_sc_2,alcohol_category_second_screen,conflict,Consensuscode,alcohol_variable_final,AUD_final
2911271000006113,,^ESCTAC291127,,acute alcoholism,25702006,,,,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
502016018,40,E231-1,E231.11,Dipsomania,7200002,502016018,32,,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
7710581000006113,40,^ESCTSE771058,,Severe alcohol dependence,713862009,3297813018,31,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
110629012,60000,E231,E231.00,Chronic alcoholism,66590003,110629012,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
8088751000006117,10,^ESCTAL808875,,Alcohol dependence with alcohol induced disorder,288031000119105,3316456018,31,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
5886961000006112,300,^ESCTAB588696,,Abstinent alcoholic,300939009,442138014,17,1,AUD diagnosis,Alcohol status,1,AUD diagnosis,AUD diagnosis,categorised as AUD
1894171000006111,,EMISNQAL18,,alcohol dependence resolved,1894171000006107,,,,AUD diagnosis,Alcohol status,1,AUD diagnosis,AUD diagnosis,categorised as AUD
295127018,10000,E230,E230.00,Acute alcoholic intoxication in alcoholism,191802004,295127018,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
295144019,100000,E23z,E23z.00,Alcohol dependence syndrome NOS,66590003,500478011,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
7706231000006114,20,^ESCTMI770623,,Mild alcohol dependence,713583005,3290336015,31,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
2358251000000115,300,2126C,2126C00,Alcohol dependence resolved,918321000000104,2358251000000115,27,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
295139014,9000,E2311,E231100,Continuous chronic alcoholism,191811004,295139014,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
295142015,5000,E2313,E231300,Chronic alcoholism in remission,191813001,295142015,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
606991000000117,50000,136W,136W.00,Alcohol misuse,15167005,606991000000117,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
1973701000006119,100,EMISICD10|F1020,,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent",1973701000006103,1973701000006119,32,1,AUD diagnosis,Chronic alcohol-related harm- mental,1,AUD diagnosis,AUD diagnosis,categorised as AUD
1974071000006113,30,EMISICD10|F1024,,"Mental and behav dis due to use alcohol: dependence syndr, currently using the substance [active dependence]",1974071000006109,1974071000006113,32,1,AUD diagnosis,Chronic alcohol-related harm- mental,1,AUD diagnosis,AUD diagnosis,categorised as AUD
370971000006114,5000,Eu102-2,Eu10212,[X]Chronic alcoholism,66590003,110629012,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
295128011,900,E2300,E230000,"Acute alcoholic intoxication, unspecified, in alcoholism",191802004,295127018,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
1974021000006112,20,EMISICD10|F1023,,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs",1974021000006108,1974021000006112,32,1,AUD diagnosis,Chronic alcohol-related harm- mental,1,AUD diagnosis,AUD diagnosis,categorised as AUD
295141010,4000,E2312,E231200,Episodic chronic alcoholism,191812006,295141010,32,1,AUD diagnosis,AUD-related,1,AUD diagnosis,AUD diagnosis,categorised as AUD
397801000006117,9000,Eu102,Eu10200,[X]Mental and behav dis due to use alcohol: dependence syndr,66590003,500478011,32,1,AUD diagnosis,AUD diagnosis,1,AUD diagnosis,AUD diagnosis,categorised as AUD
295136019,50000,E2310,E231000,Alcohol dependence,66590003,110628016,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
12878014,200000,E23-1,E23..11,Alcoholism,66590003,110629012,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
4978041000006118,30,^ESCTAL497804,,Alcoholic,228281002,342325014,17,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
1974141000006118,20,EMISICD10|F1026,,"Mental and behav dis due to use alcohol: dependence syndr, episodic use [dipsomania]",1974141000006102,1974141000006118,32,1,AUD diagnosis,Chronic alcohol-related harm- mental,1,AUD diagnosis,AUD diagnosis,categorised as AUD
295130013,500,E2302,E230200,Episodic acute alcoholic intoxication in alcoholism,191805002,295130013,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
295131012,300,E2303,E230300,"Acute alcoholic intoxication in remission, in alcoholism",191806001,295131012,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
2614651000006115,60,^ESCTAL261465,,Alcoholism,7200002,12878014,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
7725141000006111,20,^ESCTMO772514,,Moderate alcohol dependence,714829008,3300567016,31,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
295126010,500,E230-1,E230.11,Alcohol dependence with acute alcoholic intoxication,191802004,295126010,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
1974111000006117,300,EMISICD10|F1025,,"Mental and behav dis due to use alcohol: dependence syndr, continuous use",1974111000006101,1974111000006117,32,1,AUD diagnosis,Chronic alcohol-related harm- mental,1,AUD diagnosis,AUD diagnosis,categorised as AUD
362921000006118,10000,Eu102-1,Eu10211,[X]Alcohol addiction,66590003,500478011,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
295132017,600,E230z,E230z00,Acute alcoholic intoxication in alcoholism NOS,191802004,295127018,32,1,AUD diagnosis,Acute alcohol-related harm,1,AUD diagnosis,AUD diagnosis,categorised as AUD
500478011,1000000,E23,E23..00,Alcohol dependence syndrome,66590003,500478011,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
295129015,200,E2301,E230100,Continuous acute alcoholic intoxication in alcoholism,191804003,295129015,32,1,AUD diagnosis,Acute alcohol-related harm,1,AUD diagnosis,AUD diagnosis,categorised as AUD
251626014,60000,1462,1462.00,H/O: alcoholism,161466001,251626014,32,1,AUD diagnosis,Alcohol status,1,AUD diagnosis,AUD diagnosis,categorised as AUD
295143013,6000,E231z,E231z00,Chronic alcoholism NOS,66590003,110629012,32,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
460276013,3000,ZV113,ZV11300,[V]Personal history of alcoholism,371422002,1196720012,17,1,AUD diagnosis,AUD diagnosis,,,AUD diagnosis,categorised as AUD
6455201000006114,50,^ESCTSU645520,,Substance use treatment: alcohol withdrawal,386449006,1480602019,31,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
1974191000006110,60,EMISICD10|F1030,,"Mental and behav dis due to use alcohol: withdrawal state, uncomplicated",1974191000006106,1974191000006110,32,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
315091000000117,20000,Eu108,Eu10800,Alcohol withdrawal-induced seizure,308742005,452061016,32,1,alcohol withdrawal,Chronic alcohol-related harm- mental,1,alcohol withdrawal,alcohol withdrawal,categorised as AUD
3890681000006118,300,^ESCTUN389068,,Uncomplicated alcohol withdrawal,85561006,141818010,32,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
15244019,3000,E010-2,E010.12,Delirium tremens,8635005,15244019,32,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
15243013,4000,E010,E010.00,Alcohol withdrawal delirium,8635005,15243013,32,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
507053019,1000,E010-1,E010.11,DTs - delirium tremens,8635005,507053019,32,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
294674018,80000,E01y0,E01y000,Alcohol withdrawal syndrome,191480000,294674018,32,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
376451000006113,1000,Eu104-1,Eu10411,"[X]Delirium tremens, alcohol induced",8635005,15243013,32,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
397211000006118,300,Eu104,Eu10400,[X]Men & behav dis due alcohl: withdrawl state with delirium,8635005,15243013,32,,alcohol withdrawal,Chronic alcohol-related harm- mental,1,alcohol withdrawal,alcohol withdrawal,categorised as AUD
5981291000006110,3000,^ESCTAL598129,,Alcohol withdrawal-induced convulsion,308742005,452062011,32,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
294669014,1000,E013,E013.00,Alcohol withdrawal hallucinosis,191476005,294669014,32,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
397811000006119,600,Eu103,Eu10300,[X]Mental and behav dis due to use alcohol: withdrawal state,191480000,294674018,32,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
940781000006116,1000,HMPNQEV1,,Evidence of alcohol withdrawal,940781000006100,940781000006116,28,1,alcohol withdrawal,alcohol withdrawal,,,alcohol withdrawal,categorised as AUD
476701000006114,1000,F3941,F394100,Alcohol myopathy,19303008,32551012,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
5087751000006113,,^ESCTCH508775,,chronic pancreatitis due to acute alcohol intoxication,235952002,,,,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
3859091000006114,200,^ESCTDI385909,,Dilated cardiomyopathy secondary to alcohol,83521008,138526017,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
7309181000006113,20,^ESCTAL730918,,Alcohol-induced pancreatitis,445507008,2870612012,31,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
542611000006114,700,F11x0,F11x000,Cerebral degeneration due to alcoholism,192811002,297011014,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
5111831000006111,,^ESCTPS511183,,pseudo-cushing syndrome due to alcohol,237738005,,,,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
356292013,100,C1505,C150500,Alcohol-induced pseudo-Cushing's syndrome,237738005,356292013,15,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
138527014,10000,G555,G555.00,Alcoholic cardiomyopathy,83521008,138527014,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
297011014,3000,F11x0-1,F11x011,Alcoholic encephalopathy,192811002,297011014,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm- mental,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,categorised as AUD
83834016,40000,J610,J610.00,Alcoholic fatty liver,50325005,83834016,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
478046010,1000,F1440,F144000,Cerebellar ataxia due to alcoholism,361272001,478046010,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
476611000006116,100000,J612,J612.00,Alcoholic cirrhosis of liver,420054005,2920441014,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
17390014,10000,J611,J611.00,Acute alcoholic hepatitis,9953008,17390014,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
2834131000006116,30,^ESCTWE283413,,Wernicke's disease,21007002,35313017,32,1,Chronic alcohol-related harm- mental,Chronic alcohol-related harm physical,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,categorised as AUD
453265010,2000,G8523,G852300,Oesophageal varices in alcoholic cirrhosis of the liver,309783001,453265010,32,1,not related to alcohol,Chronic alcohol-related harm physical,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,categorised as AUD
3315041000006111,200,^ESCTAL331504,,Alcoholic steatosis,50325005,2306821000000116,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
5086741000006114,,^ESCTAH508674,,ah - alcoholic hepatitis,235875008,,,,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
886501000006115,2000,J613-99,J613.99,Alcoholic liver damage NOS,589511000000102,886501000006115,32,1,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
4768901000006117,,^ESCTAL476890,,alcohol induced encephalopathy,192811002,,,,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
12721711000006110,,^ESCT1272171,,alcoholic liver damage unspecified,589511000000102,,,,Chronic alcohol-related harm physical,Chronic alcohol-related harm physical,,,Chronic alcohol-related harm physical,categorised as AUD
